iter	Passed	Remaining
0	1	120
1	2	104
2	3	106
3	4	97
4	5	102
5	6	98
6	7	96
7	8	95
8	9	95
9	10	95
10	11	95
11	13	95
12	13	93
13	14	92
14	16	91
15	17	90
16	18	90
17	19	88
18	20	86
19	21	85
20	22	84
21	23	82
22	24	82
23	25	81
24	26	80
25	27	79
26	28	77
27	29	76
28	30	75
29	31	74
30	33	73
31	34	72
32	35	71
33	36	70
34	37	69
35	38	68
36	39	67
37	41	67
38	42	66
39	43	65
40	44	63
41	44	61
42	45	60
43	46	59
44	47	58
45	48	57
46	49	56
47	50	54
48	51	53
49	52	52
50	54	52
51	55	51
52	56	50
53	57	49
54	58	47
55	59	46
56	60	45
57	61	44
58	62	43
59	63	42
60	64	41
61	65	40
62	66	38
63	67	37
64	68	36
65	69	35
66	70	34
67	71	33
68	73	32
69	73	31
70	74	30
71	75	29
72	76	28
73	77	27
74	78	26
75	79	25
76	81	24
77	82	23
78	83	22
79	83	20
80	84	19
81	85	18
82	86	17
83	87	16
84	88	15
85	89	14
86	90	13
87	91	12
88	92	11
89	93	10
90	94	9
91	95	8
92	96	7
93	97	6
94	98	5
95	99	4
96	100	3
97	101	2
98	102	1
99	103	0
